Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Name,Height,Weight,Year_Born
1,,2019-01-17,26-002,NYK,@,WAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
2,,2019-01-21,26-006,NYK,,OKC,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
3,,2019-01-23,26-008,NYK,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
4,,2019-01-25,26-010,NYK,@,BRK,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
5,,2019-01-27,26-012,NYK,,MIA,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
6,1,2019-01-28,26-013,NYK,@,CHO,L (-9),0,18:07,4,8,.500,0,1,.000,0,0,,2,3,5,3,0,0,0,2,8,7.6,-6,Kadeem Allen,6-1,200lb,1993
7,2,2019-01-30,26-015,NYK,,DAL,L (-24),0,17:39,1,2,.500,0,0,,4,4,1.000,0,2,2,3,1,0,0,4,6,7.1,+1,Kadeem Allen,6-1,200lb,1993
8,3,2019-02-01,26-017,NYK,,BOS,L (-14),1,35:20,2,7,.286,1,2,.500,4,4,1.000,0,4,4,5,0,0,2,3,9,6.4,-8,Kadeem Allen,6-1,200lb,1993
9,4,2019-02-03,26-019,NYK,,MEM,L (-12),0,20:25,0,3,.000,0,1,.000,0,0,,0,2,2,5,0,1,0,2,0,1.9,+3,Kadeem Allen,6-1,200lb,1993
10,5,2019-02-05,26-021,NYK,,DET,L (-13),0,11:02,2,3,.667,1,2,.500,0,0,,0,0,0,2,1,0,1,1,5,4.7,+2,Kadeem Allen,6-1,200lb,1993
11,6,2019-02-08,26-024,NYK,@,DET,L (-17),0,14:59,3,6,.500,1,1,1.000,0,2,.000,2,2,4,2,0,0,1,2,7,4.8,-2,Kadeem Allen,6-1,200lb,1993
12,7,2019-02-09,26-025,NYK,,TOR,L (-5),0,27:46,5,11,.455,2,3,.667,2,4,.500,0,4,4,6,2,0,0,4,14,13.3,+5,Kadeem Allen,6-1,200lb,1993
13,8,2019-02-11,26-027,NYK,@,CLE,L (-3),0,32:13,10,16,.625,1,2,.500,4,5,.800,0,3,3,6,1,0,1,3,25,21.3,-1,Kadeem Allen,6-1,200lb,1993
14,9,2019-02-13,26-029,NYK,,PHI,L (-15),0,23:12,5,11,.455,1,3,.333,2,3,.667,1,2,3,4,3,0,4,1,13,9.6,+2,Kadeem Allen,6-1,200lb,1993
15,10,2019-02-14,26-030,NYK,@,ATL,W (+15),0,24:25,5,9,.556,1,1,1.000,3,4,.750,0,2,2,9,0,0,2,4,14,12.6,+8,Kadeem Allen,6-1,200lb,1993
16,,2019-02-22,26-038,NYK,,MIN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
17,,2019-02-24,26-040,NYK,,SAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
18,,2019-02-26,26-042,NYK,,ORL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
19,,2019-02-28,26-044,NYK,,CLE,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
20,,2019-03-03,26-047,NYK,@,LAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kadeem Allen,6-1,200lb,1993
21,,2019-03-04,26-048,NYK,@,SAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
22,,2019-03-06,26-050,NYK,@,PHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
23,,2019-03-09,26-053,NYK,,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
