Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Name,Height,Weight,Year_Born
24,,2019-03-10,26-054,NYK,@,MIN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
25,,2019-03-12,26-056,NYK,@,IND,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
26,11,2019-03-15,26-059,NYK,@,SAS,L (-26),0,28:08,7,10,.700,2,2,1.000,0,0,,1,2,3,1,3,0,2,1,16,14.4,-16,Kadeem Allen,6-1,200lb,1993
27,12,2019-03-17,26-061,NYK,,LAL,W (+1),0,16:48,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,3,0,0,2,3,7,5.6,-3,Kadeem Allen,6-1,200lb,1993
28,13,2019-03-18,26-062,NYK,@,TOR,L (-36),0,26:14,0,8,.000,0,3,.000,0,0,,0,1,1,1,1,0,3,2,0,-7.4,-16,Kadeem Allen,6-1,200lb,1993
29,,2019-03-20,26-064,NYK,,UTA,L (-21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Kadeem Allen,6-1,200lb,1993
30,14,2019-03-22,26-066,NYK,,DEN,L (-18),0,14:45,1,7,.143,0,1,.000,1,2,.500,0,1,1,4,1,0,0,1,3,1.8,-8,Kadeem Allen,6-1,200lb,1993
31,15,2019-03-24,26-068,NYK,,LAC,L (-11),0,20:15,6,11,.545,2,4,.500,2,2,1.000,1,3,4,1,0,1,1,6,16,10.3,-6,Kadeem Allen,6-1,200lb,1993
32,16,2019-03-28,26-072,NYK,,TOR,L (-25),0,18:49,6,9,.667,1,2,.500,5,5,1.000,0,1,1,2,0,1,4,4,18,10.9,+7,Kadeem Allen,6-1,200lb,1993
33,17,2019-03-30,26-074,NYK,,MIA,L (-8),0,27:08,2,6,.333,0,2,.000,4,5,.800,1,2,3,6,0,0,2,2,8,6.9,-8,Kadeem Allen,6-1,200lb,1993
34,18,2019-04-01,26-076,NYK,,CHI,W (+8),0,9:26,1,2,.500,1,2,.500,4,4,1.000,0,3,3,5,1,0,1,0,7,10.4,+20,Kadeem Allen,6-1,200lb,1993
35,,2019-04-03,26-078,NYK,@,ORL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
36,,2019-04-05,26-080,NYK,@,HOU,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
37,,2019-04-07,26-082,NYK,,WAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
38,,2019-04-09,26-084,NYK,@,CHI,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
39,19,2019-04-10,26-085,NYK,,DET,L (-26),0,28:52,3,10,.300,2,3,.667,5,8,.625,0,5,5,8,2,1,0,1,13,15.4,-11,Kadeem Allen,6-1,200lb,1993
1,,2019-10-23,26-281,NYK,@,SAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
2,,2019-10-25,26-283,NYK,@,BRK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
3,,2019-10-26,26-284,NYK,,BOS,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
4,,2019-10-28,26-286,NYK,,CHI,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
5,,2019-10-30,26-288,NYK,@,ORL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
6,,2019-11-01,26-290,NYK,@,BOS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
7,,2019-11-03,26-292,NYK,,SAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
8,,2019-11-06,26-295,NYK,@,DET,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
9,,2019-11-08,26-297,NYK,@,DAL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
10,,2019-11-10,26-299,NYK,,CLE,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
11,,2019-11-12,26-301,NYK,@,CHI,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
12,,2019-11-14,26-303,NYK,,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
13,,2019-11-16,26-305,NYK,,CHO,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
14,,2019-11-18,26-307,NYK,,CLE,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
15,,2019-11-20,26-309,NYK,@,PHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
16,,2019-11-23,26-312,NYK,,SAS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
17,,2019-11-24,26-313,NYK,,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
18,,2019-11-27,26-316,NYK,@,TOR,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
19,,2019-11-29,26-318,NYK,,PHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
20,,2019-12-01,26-320,NYK,,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kadeem Allen,6-1,200lb,1993
21,1,2019-12-02,26-321,NYK,@,MIL,L (-44),0,15:32,3,6,.500,3,4,.750,0,0,,0,0,0,2,1,0,1,1,9,7.0,-5,Kadeem Allen,6-1,200lb,1993
22,,2019-12-05,26-324,NYK,,DEN,L (-37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
23,,2019-12-07,26-326,NYK,,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
24,,2019-12-10,26-329,NYK,@,POR,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
25,,2019-12-11,26-330,NYK,@,GSW,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
26,,2019-12-13,26-332,NYK,@,SAC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
27,,2019-12-15,26-334,NYK,@,DEN,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kadeem Allen,6-1,200lb,1993
28,,2019-12-17,26-336,NYK,,ATL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
29,,2019-12-20,26-339,NYK,@,MIA,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
30,,2019-12-21,26-340,NYK,,MIL,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
31,,2019-12-23,26-342,NYK,,WAS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
32,2,2019-12-26,26-345,NYK,@,BRK,W (+12),0,2:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6,Kadeem Allen,6-1,200lb,1993
33,,2019-12-28,26-347,NYK,@,WAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kadeem Allen,6-1,200lb,1993
34,,2020-01-01,26-351,NYK,,POR,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
35,,2020-01-03,26-353,NYK,@,PHO,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
36,3,2020-01-05,26-355,NYK,@,LAC,L (-3),0,19:38,4,9,.444,0,0,,1,3,.333,1,2,3,6,1,0,3,1,9,6.6,-3,Kadeem Allen,6-1,200lb,1993
37,4,2020-01-07,26-357,NYK,@,LAL,L (-30),0,4:30,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-4,Kadeem Allen,6-1,200lb,1993
38,5,2020-01-08,26-358,NYK,@,UTA,L (-24),0,4:59,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,2.4,-1,Kadeem Allen,6-1,200lb,1993
39,6,2020-01-10,26-360,NYK,,NOP,L (-12),0,2:34,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,+2,Kadeem Allen,6-1,200lb,1993
40,7,2020-01-12,26-362,NYK,,MIA,W (+3),0,16:45,4,7,.571,1,2,.500,1,1,1.000,1,1,2,1,1,1,0,0,10,10.1,+1,Kadeem Allen,6-1,200lb,1993
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kadeem Allen,6-1,200lb,1993
41,8,2020-01-14,26-364,NYK,@,MIL,L (-26),0,24:09,3,9,.333,0,3,.000,3,4,.750,0,3,3,6,1,1,2,3,9,7.1,-12,Kadeem Allen,6-1,200lb,1993
42,9,2020-01-16,27-001,NYK,,PHO,L (-23),0,5:47,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,1,1,3,-0.1,-3,Kadeem Allen,6-1,200lb,1993
43,,2020-01-18,27-003,NYK,,PHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
44,,2020-01-20,27-005,NYK,@,CLE,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
45,,2020-01-22,27-007,NYK,,LAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
46,,2020-01-24,27-009,NYK,,TOR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
47,,2020-01-26,27-011,NYK,,BRK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
48,,2020-01-28,27-013,NYK,@,CHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
49,,2020-01-29,27-014,NYK,,MEM,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
50,10,2020-02-01,27-017,NYK,@,IND,W (+7),0,20:58,2,2,1.000,0,0,,2,3,.667,0,1,1,2,1,0,0,0,6,7.7,+10,Kadeem Allen,6-1,200lb,1993
51,,2020-02-03,27-019,NYK,@,CLE,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
52,,2020-02-06,27-022,NYK,,ORL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kadeem Allen,6-1,200lb,1993
53,,2020-02-08,27-024,NYK,@,DET,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
54,,2020-02-09,27-025,NYK,@,ATL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kadeem Allen,6-1,200lb,1993
